,loss,mse,val_loss,val_mse
0,0.46065887808799744,0.054341502487659454,0.32944753766059875,0.05096760392189026
1,0.200697124004364,0.02989131025969982,0.14764846861362457,0.023598749190568924
2,0.1572149097919464,0.024735931307077408,0.12070754915475845,0.01921866275370121
3,0.13156209886074066,0.021548232063651085,0.1125611811876297,0.018808210268616676
4,0.12271194905042648,0.01974424533545971,0.11422553658485413,0.019248297438025475
5,0.1102791577577591,0.018463119864463806,0.09837206453084946,0.016373127698898315
6,0.1045001670718193,0.017418015748262405,0.09405959397554398,0.01582484319806099
7,0.10016950219869614,0.01679404266178608,0.10467047989368439,0.018172314390540123
8,0.09700365364551544,0.016192782670259476,0.09916866570711136,0.016525588929653168
9,0.09696019440889359,0.016026413068175316,0.08992736786603928,0.01502215676009655
10,0.09338678419589996,0.015663692727684975,0.09821435809135437,0.01642529107630253
11,0.09076879173517227,0.01528026070445776,0.09644677489995956,0.016150260344147682
12,0.09018131345510483,0.015211592428386211,0.10224965959787369,0.017459562048316002
13,0.08877728879451752,0.01490586344152689,0.08960013836622238,0.014903934672474861
14,0.08856822550296783,0.014948123134672642,0.09114719927310944,0.015249770134687424
15,0.08804039657115936,0.014923769980669022,0.09957597404718399,0.0166265070438385
16,0.08689238131046295,0.014693415723741055,0.08925740420818329,0.014458389952778816
17,0.08575314283370972,0.014313951134681702,0.1014583483338356,0.016900867223739624
18,0.08672939240932465,0.014584195800125599,0.08926476538181305,0.01472765114158392
19,0.08440089970827103,0.01429762039333582,0.08622492104768753,0.013977304100990295
20,0.0833950936794281,0.014123794622719288,0.09090584516525269,0.014808093197643757
21,0.08368071913719177,0.014061574824154377,0.09078652411699295,0.015018166974186897
22,0.08348273485898972,0.014091604389250278,0.09303391724824905,0.015265954658389091
23,0.08268086612224579,0.013906458392739296,0.08866604417562485,0.01435153093189001
24,0.08342050760984421,0.013980223797261715,0.08554112166166306,0.014279899187386036
25,0.08145266771316528,0.013715549372136593,0.08799457550048828,0.014265771955251694
26,0.08151982724666595,0.01371521782130003,0.08789517730474472,0.01461261697113514
27,0.08089280873537064,0.013645349070429802,0.09038778394460678,0.014927789568901062
28,0.08034715801477432,0.01359306089580059,0.08339093625545502,0.013769857585430145
29,0.07998593151569366,0.013549495488405228,0.10023436695337296,0.01678590662777424
30,0.08048005402088165,0.013512733392417431,0.08748244494199753,0.0144013911485672
31,0.0793304443359375,0.013332042843103409,0.09184211492538452,0.015062094666063786
32,0.07966439425945282,0.013403951190412045,0.0923132449388504,0.014995750971138477
33,0.07859856635332108,0.013289771974086761,0.08465775847434998,0.013953677378594875
34,0.07930631190538406,0.013351581059396267,0.08836323767900467,0.014269686304032803
35,0.07840556651353836,0.01326280552893877,0.0951397716999054,0.015399174764752388
36,0.07786308228969574,0.013114817440509796,0.10384822636842728,0.016643278300762177
37,0.07739431411027908,0.01309509389102459,0.08728384226560593,0.014125115238130093
38,0.07786201685667038,0.013131444342434406,0.086150623857975,0.014013967476785183
39,0.07700540125370026,0.012968501076102257,0.0849645584821701,0.013661799021065235
40,0.07719363272190094,0.01308822724968195,0.09086788445711136,0.014582132920622826
41,0.07686463743448257,0.012936020269989967,0.08751527965068817,0.014218328520655632
42,0.07702136039733887,0.012959633022546768,0.08779793977737427,0.01425075065344572
43,0.07690808922052383,0.013011845760047436,0.09213317185640335,0.01549207977950573
44,0.07670419663190842,0.012958802282810211,0.1022438257932663,0.016157541424036026
45,0.07639996707439423,0.012926045805215836,0.08882047235965729,0.014495234936475754
46,0.07522056996822357,0.012732523493468761,0.08928270637989044,0.014338373206555843
47,0.07551488280296326,0.012755020521581173,0.09181094914674759,0.014611194841563702
48,0.07454244047403336,0.012616489082574844,0.08348102122545242,0.013605592772364616
49,0.07493332773447037,0.012678734958171844,0.08687976747751236,0.013898249715566635
